ID,ra,dec,redshift,u,g,r,i,z,type,v_pec
1237662198821421207,229.8148070237344,8.706120180459694,0.033565864,-17.071148,-18.964571,-18.318794,-19.249203,-19.568102,-0.3846691846847534,-125.87108176623644
1237661949737631780,231.13650566338993,8.545056884785815,0.029651599,-17.520576,-19.396397,-18.81158,-19.994797,-19.805368,2.1517887115478516,-1260.7522477366135
1237661949200433494,230.46065526180385,8.364420252321876,0.038375653,-17.626034,-20.165462,-19.39453,-20.533026,-20.810135,-2.423880100250244,1268.6535476064544
1237662264859754827,229.08996595782264,8.101303123946112,0.030944467,-17.837149,-19.88256,-19.202406,-20.24777,-20.519972,4.549981117248535,-885.9049792747726
1237662263786340617,229.7254260541109,7.200635918148498,0.032175984,-15.83639,-17.583597,-17.113232,-17.622625,-17.765789,5.28526496887207,-528.8454932991581
1237661950274568383,231.36122195848566,9.097386759349055,0.032180883,-17.879904,-19.4791,-18.912628,-19.778343,-20.094341,3.0736451148986816,-527.4251033071438
1237661950274437529,231.15674663268246,8.962517133299386,0.035728008,-17.006641,-18.832512,-18.243935,-19.093653,-19.314718,0.6082912683486938,501.00944464570875
1237662264860147778,229.9730725855066,8.099271654568671,0.033439912,-18.631239,-20.925896,-20.19021,-21.30296,-21.547237,1.2881925106048584,-162.38893444516836
1237661949200302399,230.11959330697914,8.285182445880832,0.03721393,-17.647478,-19.915018,-19.197584,-20.272522,-20.5278,-2.4085264205932617,931.8297626111596
1237662264859951178,229.51717546190855,8.118462156502202,0.032157503,-17.98134,-18.418703,-18.444664,-18.372147,-18.43151,5.820308208465576,-534.2037761002201
1237662198284747189,230.31255648523134,8.218960994086189,0.035718147,-17.41719,-18.419754,-18.092758,-18.540731,-18.608986,5.017603874206543,498.1503987769099
1237662264323211545,229.78106757599264,7.563347485181362,0.03431858,-17.897694,-20.157204,-19.443632,-20.524965,-20.730793,-0.18205296993255615,92.36739000932269
1237662264323014740,229.331984769003,7.613538996383672,0.033751957,-15.164428,-18.685389,-17.983316,-19.082169,-19.223892,4.072176456451416,-71.91626756256771
1237661950274371952,230.98994382162894,9.02505344437667,0.032953784,-16.971233,-19.13877,-18.449907,-19.448448,-19.648968,-2.130350112915039,-303.3343000376487
1237661949200629996,230.85281048489645,8.184480004276198,0.03494453,-16.974375,-18.453302,-17.901775,-18.69476,-19.055868,3.93454647064209,273.8520022773111
1237662198821683357,230.48031225562127,8.423769235279774,0.039050374,-19.962494,-22.32124,-21.590899,-22.696217,-22.98534,-9999.0,1464.2785640998945
1237661949737828733,231.72219989319237,8.535469850485889,0.035383865,-15.968858,-18.4047,-17.690557,-18.72527,-18.953289,0.9125599265098572,401.23045443923536
1237661949200105757,229.5743857832141,8.348449515836375,0.03504993,-17.817432,-18.749866,-18.486544,-18.843172,-18.87615,6.025230407714844,304.4111174351443
1237661949200498913,230.5318579152764,8.310508680171043,0.03467076,-17.219055,-19.246578,-18.552332,-19.557623,-19.821976,-1.144537329673767,194.4765852302513
1237662199358554211,230.49353327364514,8.851566568772814,0.033868562,-16.060486,-18.459074,-17.764082,-18.79672,-18.918255,3.96014404296875,-38.10843432747133
1237661949200564425,230.62478028853334,8.195882934836527,0.031967763,-16.972818,-18.798832,-18.165226,-19.114538,-19.319084,-0.885292649269104,-589.2159820778973
1237662264323604665,230.60025196331728,7.635233491003601,0.040234715,-18.461794,-19.935282,-19.452572,-20.147268,-20.350847,1.851099967956543,1807.6600916629288
1237662199359078814,231.7687544027749,8.761183290818455,0.03509985,-16.988253,-19.155607,-18.423164,-19.49651,-19.786463,1.7287585735321045,318.88465660667293
1237661949200433419,230.34654749729268,8.258862801806004,0.033800226,-16.349627,-18.928274,-18.203262,-19.266005,-19.460014,1.0834839344024658,-57.9214105459303
1237661950274371799,230.88961997450437,9.018941747875225,0.038123492,-16.100498,-18.455282,-17.73509,-18.80124,-19.04101,2.209584951400757,1195.543329036108
